N,t,one_qubit,factor_found,n_qubits,depth,n_attempts,simulation_time,total_time,noise
177,10,False,3,0.0,0.0,5,0.0,292.1564693450928,False
177,10,False,3,0.0,0.0,6,0.0,364.938214302063,False
177,10,False,3,0.0,0.0,1,0.0,1.1444091796875e-05,False
183,10,False,61,28,5953,1,72.70659041404724,72.7065999507904,False
183,10,False,3,0.0,0.0,4,0.0,219.09168434143066,False
183,10,False,3,0.0,0.0,2,0.0,73.32747292518616,False
183,10,False,3,0.0,0.0,2,0.0,72.76424527168274,False
183,10,False,3,0.0,0.0,11,0.0,729.6075568199158,False
183,10,False,3,0.0,0.0,2,0.0,73.09801411628723,False
183,10,False,3,0.0,0.0,4,0.0,218.3249454498291,False
183,10,False,61,0.0,0.0,2,0.0,72.85650110244751,False
183,10,False,3,0.0,0.0,2,0.0,72.97679853439331,False
183,10,False,3,0.0,0.0,1,0.0,1.3589859008789062e-05,False
185,10,False,5,0.0,0.0,1,0.0,9.775161743164062e-06,False
185,10,False,5,0.0,0.0,1,0.0,9.059906005859375e-06,False
185,10,False,5,0.0,0.0,3,0.0,146.19310903549194,False
185,10,False,5,0.0,0.0,12,0.0,802.0892124176025,False
185,10,False,5,0.0,0.0,1,0.0,1.1205673217773438e-05,False
185,10,False,5,0.0,0.0,4,0.0,218.4938931465149,False
185,10,False,5,0.0,0.0,5,0.0,291.609543800354,False
185,10,False,5,0.0,0.0,5,0.0,291.4794957637787,False
185,10,False,5,0.0,0.0,6,0.0,364.6358106136322,False
185,10,False,5,0.0,0.0,1,0.0,1.239776611328125e-05,False
187,10,False,17,0.0,0.0,17,0.0,1167.0378007888794,False
187,10,False,17,0.0,0.0,29,0.0,2042.1392333507538,False
187,10,False,17,0.0,0.0,2,0.0,72.99463701248169,False
187,10,False,17,0.0,0.0,2,0.0,72.90574765205383,False
187,10,False,11,0.0,0.0,3,0.0,145.90661215782166,False
187,10,False,17,0.0,0.0,3,0.0,146.0938220024109,False
187,10,False,11,0.0,0.0,8,0.0,510.6576132774353,False
187,10,False,11,0.0,0.0,36,0.0,2552.8732640743256,False
